"Product ID";"Active (0/1)";Name;Category;"Image URL";Price;Available
64;1;"Filtr oleju KNECHT OC 278";Filtry;https://media1mi.pl/p/1/246/90/photo-984fc007-fe7c-4220-bf0c-a2b6606b90a9-150x150.jpg;35,20;1
65;1;"Filtr oleju KNECHT OC 65";Filtry;https://media1mi.pl/p/1/188/420/photo-66d15c55-f537-4489-b94d-5c138a269add-150x150.jpg;44,59;1
66;1;"Filtr oleju KNECHT OC 138";Filtry;https://media1mi.pl/p/1/33/68/photo-5025f2aa-f805-4bb6-8e85-7a60370c5aea-150x150.jpg;34,93;1
67;1;"Filtr oleju KNECHT OC 94";Filtry;https://media1mi.pl/p/1/4/296/photo-39e73166-cce0-47ca-98bc-4a00cdae5164-150x150.jpg;39,06;1
68;1;"Filtr oleju KNECHT OC 46";Filtry;https://media1mi.pl/p/1/39/163/photo-f6dcc41e-8ea8-4873-8f11-ec1a4b419695-150x150.jpg;77,50;1
69;1;"Filtr oleju KNECHT OX 151D";Filtry;https://media1mi.pl/p/1/94/36/photo-57d2eacf-fb30-4012-829b-54daa3afd0f6-150x150.jpg;62,73;1
70;1;"Filtr oleju KNECHT OX 554D1";Filtry;https://media2mi.pl/p/2/441/22/photo-c9931b60-8082-48e7-a30d-32a0bb6236bf-150x150.jpg;56,86;1
71;1;"Filtr oleju KNECHT OX 125";Filtry;https://media1mi.pl/p/1/12/348/photo-a46947ab-bbdc-4c5e-9767-697716589622-150x150.jpg;63,66;1
72;1;"Filtr oleju KNECHT OX 365/1D";Filtry;https://media1mi.pl/p/1/77/359/photo-d228f274-04a2-4549-942c-5aa20ba25703-150x150.jpg;79,90;1
73;1;"Filtr oleju KNECHT OC 982";Filtry;https://media1mi.pl/p/1/164/225/photo-04ceff5f-9801-4296-8c0a-be53d4412450-150x150.jpg;40,39;1
74;1;"Filtr oleju KNECHT OX 353/7D";Filtry;https://media2mi.pl/p/2/481/126/photo-9f0a8f5b-9bc5-463a-8c2d-73ff2c1056d5-150x150.jpg;67,73;1
75;1;"Filtr oleju KNECHT OC 617";Filtry;https://media1mi.pl/p/1/117/196/photo-4b4d87d3-706c-4239-9ce1-7278ce8e6e72-150x150.jpg;19,43;1
76;1;"Filtr oleju KNECHT OC 1051";Filtry;https://media1mi.pl/p/1/235/482/photo-eff024a3-5b3a-430e-b5b4-83c5e7cf8172-150x150.jpg;27,69;1
77;1;"Filtr oleju KNECHT OX 183/5D";Filtry;https://media1mi.pl/p/1/49/171/photo-1b49754d-7306-431c-b1e9-816165758317-150x150.jpg;56,23;1
