"Product ID";"Active (0/1)";Name;Category;"Image URL";Price;Quantity
64;1;"Filtr oleju KNECHT OX 96D";Filtry;https://media1mi.pl/p/1/26/276/photo-fac8cff8-39e7-4524-a754-f2fdb2bfa3d2-150x150.jpg;59,21;1
65;1;"Filtr oleju KNECHT OC 23";Filtry;https://media1mi.pl/p/1/89/211/photo-5559a30c-1b8b-4a04-a571-daa0dcbb1ddb-150x150.jpg;26,47;5
66;1;"Filtr oleju KNECHT OC 23 OF";Filtry;https://media2mi.pl/p/2/417/102/photo-2dcee9d0-bfe7-4489-a92a-08daa14c5251-150x150.jpg;27,21;3
67;1;"Filtr oleju KNECHT OC 217";Filtry;https://media2mi.pl/p/2/512/373/photo-34f7319f-9af2-4d58-a531-47a19fba980b-150x150.jpg;26,15;2
68;1;"Filtr oleju KNECHT OC 274";Filtry;https://media2mi.pl/p/2/290/334/photo-4961d07d-fe21-4b1a-a2c4-6103df87cd73-150x150.jpg;58,16;3
69;1;"Filtr oleju KNECHT OX 179D";Filtry;https://media2mi.pl/p/2/497/250/photo-7976ded9-a660-4178-9249-befe09e5009e-150x150.jpg;58,67;4
70;1;"Filtr oleju KNECHT OX 38D";Filtry;https://media1mi.pl/p/1/195/411/photo-197a9145-0933-4905-b8bb-8a9ad495b393-150x150.jpg;44,54;4
71;1;"Filtr oleju KNECHT OC 470";Filtry;https://media1mi.pl/p/1/61/211/photo-7aff3cde-082b-4077-8306-e88ce571ae2c-150x150.jpg;54,86;2
72;1;"Filtr oleju KNECHT OC 273";Filtry;https://media2mi.pl/p/2/482/370/photo-def27ac9-3247-46b3-98db-6342c1045bdc-150x150.jpg;56,28;5
73;1;"Filtr oleju KNECHT OC 49";Filtry;https://media2mi.pl/p/2/466/355/photo-4225ef69-1bb5-4fa9-a017-62ffae12f7f1-150x150.jpg;34,94;5
74;1;"Filtr oleju KNECHT OX 370D";Filtry;https://media1mi.pl/p/1/42/429/photo-c576c6cd-9ba0-4c07-a437-b9a756b05cc6-150x150.jpg;63,01;3
75;1;"Filtr oleju KNECHT OC 145";Filtry;https://media1mi.pl/p/1/183/316/photo-2241a7ac-ef70-41b4-aaba-8a9ca29db150-150x150.jpg;53,98;4
76;1;"Filtr oleju KNECHT OC 297";Filtry;https://media2mi.pl/p/2/396/70/photo-99fe9630-82a3-4f44-a00d-535de98a8cab-150x150.jpg;110,09;2
77;1;"Filtr oleju KNECHT OX 153D4";Filtry;https://media1mi.pl/p/1/215/123/photo-ebf83b90-22e7-4e85-8298-0d1fcf69ae70-150x150.jpg;36,88;1
78;1;"Filtr oleju KNECHT OC 140";Filtry;https://media1mi.pl/p/1/78/33/photo-4ce866e7-90d5-4294-89fb-533006545b3f-150x150.jpg;40,79;3
79;1;"Filtr oleju KNECHT OX 153D2";Filtry;https://media2mi.pl/p/2/265/500/photo-21ed74dc-db15-41c0-95f5-353f357711ef-150x150.jpg;41,90;4
80;1;"Filtr oleju KNECHT OC 11";Filtry;https://media1mi.pl/p/1/179/465/photo-89f1bfad-5650-413f-bca1-8008d90a106e-150x150.jpg;35,49;2
81;1;"Świeca zapłonowa BOSCH 0 242 240 635";Świece;https://media1mi.pl/p/1/22/266/photo-b164da7b-53ad-4f58-b647-07dc5480999d-150x150.jpg;38,27;1
82;1;"Świeca zapłonowa NGK 6903";Świece;https://media2mi.pl/p/2/431/129/photo-2423b295-94e8-4ae9-8ebe-94210ae34ed4-150x150.jpg;88,28;4
